IC50_nM,MDEC-23,minsssN,LipoaffinityIndex,C1SP2,minHsOH,maxHsOH,MLFER_A,maxssO,minsOH,minHBint5,nHBAcc,nC,SsOH,VC-5,ATSc3,SHsOH,MLogP,MDEO-12,ndssC,TopoPSA
727,0.331572446,0,0.375931183,0.1,0.760383968,0.724443522,0.225900116,0,0.792569554,0.343410185,0.015151515,0.102272727,0.289577221,0.03323569,0.440802442,0.425602175,0.307692308,0.103363376,0,0.045191785
1100,0.326831573,0,0.390790402,0.1,0.766028141,0.761088715,0.225900116,0,0.785072074,0.340814107,0.015151515,0.102272727,0.287994787,0.042746389,0.390875848,0.438809635,0.282051282,0.103363376,0,0.045191785
98,0.323556027,0,0.388904831,0.1,0.767352083,0.747896445,0.239721254,0,0.787526512,0.339262715,0.015151515,0.102272727,0.288378756,0.04249269,0.446803912,0.435138084,0.282051282,0.103363376,0,0.045191785
447,0.303346297,0,0.359514696,0.1,0.788950396,0.733482669,0.225900116,0,0.789663245,0.351038312,0.015151515,0.090909091,0.28739666,0.030654436,0.432323222,0.437630784,0.282051282,0.103363376,0,0.045191785
1216,0.298257207,0,0.375237138,0.1,0.794594569,0.770127862,0.225900116,0,0.782165765,0.348187278,0.015151515,0.090909091,0.285814226,0.040165136,0.382398354,0.450838245,0.256410256,0.103363376,0,0.045191785
376,0.326831573,0,0.380009636,0.1,0.80611329,0.77419955,0.228106852,0,0.78168637,0.348717236,0.015151515,0.090909091,0.285529839,0.040165136,0.385242901,0.45582112,0.230769231,0.103363376,0,0.045191785
775,0.331572446,0,0.372020029,0.05,0.765912954,0.725339293,0.225900116,0,0.792735288,0.345479222,0.015151515,0.102272727,0.28961307,0.030654436,0.430753622,0.427665033,0.307692308,0.103363376,0,0.045191785
4652,0.331572446,0,0.35575602,0.1,0.764846406,0.724962285,0.228106852,0,0.79328883,0.346180254,0.015151515,0.090909091,0.290002855,0.030654436,0.435366334,0.427203656,0.256410256,0.103363376,0,0.045191785
196,0.323556027,0,0.368254632,0.1,0.771814521,0.748415209,0.241927991,0,0.788245788,0.34199434,0.015151515,0.090909091,0.288804389,0.039911437,0.441391248,0.436739566,0.230769231,0.103363376,0,0.045191785
539,0.323556027,0,0.385423713,0.05,0.772881069,0.748792217,0.239721254,0,0.787692246,0.341268942,0.015151515,0.102272727,0.288414605,0.039911437,0.436778237,0.437200943,0.282051282,0.103363376,0,0.045191785
227,0.293953873,0,0.373567461,0.1,0.795918511,0.756935593,0.239721254,0,0.784620203,0.346533803,0.015151515,0.090909091,0.286198194,0.039911437,0.438347908,0.447166694,0.256410256,0.103363376,0,0.045191785
474,0.263335103,0,0.393306686,0.1,0.801562684,0.793580786,0.239721254,0,0.777122723,0.34356632,0.015151515,0.090909091,0.28461576,0.052751861,0.336427393,0.460374155,0.230769231,0.103363376,0,0.045191785
249,0.267396256,0,0.389950262,0.1,0.802886626,0.780388516,0.253542393,0,0.779577161,0.341875217,0.015151515,0.090909091,0.284999729,0.046503645,0.457585688,0.456702604,0.230769231,0.103363376,0,0.045191785
4040,0.276512103,0,0.390801723,0.1,0.801562684,0.793580786,0.239721254,0,0.777122723,0.34356632,0.015151515,0.090909091,0.28461576,0.049422137,0.404329193,0.460374155,0.230769231,0.103363376,0,0.045191785
1116,0.293953873,0,0.379134694,0.1,0.775014165,0.686576822,0.225900116,0,0.805076487,0.349094881,0.015151515,0.102272727,0.290984061,0.057411181,0.42911897,0.418558965,0.307692308,0.103363376,0,0.045191785
1300,0.443143269,0,0.417137836,0.05,0.717648314,0.708795086,0.225900116,0,0.800222084,0.332262578,0.015151515,0.136363636,0.295044124,0.045358315,0.432313726,0.406946771,0.384615385,0.103363376,0,0.045191785
809,0.380285614,0,0.358636215,0.1,0.754394233,0.721267605,0.225900116,0,0.797148072,0.323926817,0.015151515,0.113636364,0.292907266,0.040600964,0.43455858,0.422682158,0.307692308,0.18194264,0,0.056184381
1980,0.373433737,0,0.374160529,0.1,0.760038406,0.757912798,0.225900116,0,0.789650592,0.324273287,0.015151515,0.113636364,0.291324833,0.050111664,0.384634159,0.435889618,0.282051282,0.18194264,0,0.056184381
1030,0.380285614,0,0.357087171,0.1,0.718392305,0.710140568,0.225900116,0,0.799156967,0.048378361,0.015151515,0.113636364,0.294473539,0.063571486,0.434375294,0.407604947,0.307692308,0.103363376,0,0.068816665
1340,0.33871706,0,0.320897697,0.2,0.734070564,0.714986213,0.225900116,0,0.798452549,0.042553449,0.03030303,0.102272727,0.293924326,0.055805038,0.447592391,0.414170829,0.256410256,0.103363376,0,0.079600117
1010,0.421855417,0,0.404264775,0.05,0.692391518,0.702150188,0.225900116,0,0.799785137,0.324086902,0.015151515,0.125,0.294951064,0.058787466,0.436923188,0.39673028,0.358974359,0.103363376,0,0.045191785
1036,0.265384733,0,0.36870686,0.1,0.7207761,0.757858509,0.213124274,0,0.786723005,0.324331175,0.015151515,0.090909091,0.291893482,0.118835672,0.338960711,0.423200411,0.230769231,0.103363376,0,0.045191785
24,0.287092573,0,0.282055095,0,0.761357326,0.740392164,0.288966318,0,0.788230781,0.31375757,0,0.068181818,0.432223114,0.045858485,0.363434518,0.66024181,0.205128205,0.163546991,0,0.062115698
6100,0.271910291,0,0.319999171,0,0.761357326,0.740392164,0.225900116,0,0.787946666,0.317179208,0,0.068181818,0.289909508,0.045858485,0.362874513,0.430871615,0.230769231,0.095695891,0,0.045191785
3000,0.271910291,0,0.318383135,0,0.761357326,0.738231677,0.225900116,0,0.795025081,0.31515186,0,0.068181818,0.290936876,0.045858485,0.361149312,0.430200346,0.230769231,0.126593764,0,0.045191785
815,0.292153741,0,0.321994274,0,0.84978204,0.740392164,0.225900116,0,0.786455062,0.093941509,0,0.068181818,0.28270461,0.03496261,0.352439773,0.459411658,0.230769231,0.106991258,0,0.045191785
4068,0.284804617,0,0.280708552,0,0.761357326,0.740392164,0.288966318,0,0.788297426,0.314754047,0,0.068181818,0.434249429,0.045858485,0.372161159,0.649840939,0.205128205,0.151823578,0,0.062115698
819,0.292352664,0,0.320551179,0,0.817557352,0.740392164,0.225900116,0,0.786521707,0.337342253,0,0.068181818,0.284682334,0.03496261,0.361041976,0.449010788,0.230769231,0.095695891,0,0.045191785
273,0.290410807,0,0.323686893,0,0.779567615,0.726215673,0.213124274,0,0.799183114,0.093941509,0,0.068181818,0.28847358,0.063494709,0.320790939,0.432344518,0.205128205,0.106991258,0,0.045191785
264,0.329126332,0,0.298695689,0,0.829285117,0.73099312,0.239721254,0,0.798992169,0.093941509,0.015151515,0.079545455,0.285893189,0.047343527,0.360547792,0.449875748,0.230769231,0.106991258,0,0.065093906
183,0.290410807,0,0.320307981,0,0.77804334,0.725962323,0.213124274,0,0.799422507,0.093941509,0,0.068181818,0.288783867,0.084381656,0.328934888,0.431773825,0.205128205,0.106991258,0,0.045191785
161,0.290410807,0,0.337277483,0,0.855426214,0.777037357,0.225900116,0,0.778957582,0.093941509,0,0.068181818,0.281122176,0.04447331,0.298169394,0.472619118,0.205128205,0.106991258,0,0.045191785
431,0.290410807,0,0.341346369,0,0.781309644,0.726505215,0.225900116,0,0.798625406,0.093941509,0,0.079545455,0.287750715,0.060125556,0.359686442,0.432996738,0.256410256,0.106991258,0,0.045191785
475,0.287092573,0,0.341844184,0,0.806708424,0.723754563,0.225900116,0,0.799518308,0.093941509,0,0.079545455,0.286292012,0.061410041,0.348668029,0.440339838,0.256410256,0.106991258,0,0.045191785
50,0.356851733,0,0.38152999,0,0.752314464,0.702336811,0.225900116,0,0.80669767,0.093941509,0,0.102272727,0.291028953,0.053170068,0.348283343,0.41612905,0.307692308,0.106991258,0,0.045191785
210,0.350401869,0,0.38048353,0,0.70479974,0.708670548,0.225900116,0,0.804589083,0.093941509,0,0.102272727,0.293729032,0.0527555,0.359100917,0.40276106,0.307692308,0.106991258,0,0.045191785
511,0.258505906,0,0.298532691,0,0.690805161,0.726505215,0.288966318,0,0.799069336,0.290361213,0,0.079545455,0.441643095,0.084836848,0.380670069,0.611055406,0.230769231,0.163546991,0,0.062115698
717,0.356851733,0,0.31223967,0,0.791030165,0.717891332,0.225900116,0,0.803027655,0.093941509,0.015151515,0.090909091,0.288705639,0.053170068,0.316189462,0.43345779,0.256410256,0.106991258,0,0.065093906
2390,0.329126332,0,0.306279212,0.05,0.810157641,0.937672931,0.225900116,0,0.740954295,0.093941509,0,0.079545455,0.420484998,0.049519624,0.353912026,0.733003798,0.205128205,0.146195234,0,0.072455766
30,0.273103039,0,0.277079626,0,0.728549118,0.725962323,0.296631823,0,0.799866437,0.30458109,0,0.068181818,0.440594501,0.095277531,0.346946972,0.622014768,0.179487179,0.163546991,0,0.062115698
33,0.273103039,0,0.282594971,0,0.729226574,0.726215673,0.296631823,0,0.799627043,0.112819072,0,0.068181818,0.440165331,0.074390585,0.340984598,0.622804117,0.179487179,0.163546991,0,0.062115698
65,0.273103039,0,0.300107625,0,0.730000809,0.726505215,0.288966318,0,0.799069336,0.304316564,0,0.079545455,0.439165506,0.071021432,0.368306683,0.62370623,0.230769231,0.163546991,0,0.062115698
13,0.387693355,0,0.419030527,0,0.628289837,0.682466973,0.225900116,0,0.813177644,0.093941509,0,0.125,0.300017889,0.070962958,0.355325781,0.369925143,0.358974359,0.106991258,0,0.045191785
22,0.419997697,0,0.440152078,0,0.605252395,0.672775682,0.225900116,0,0.816421487,0.093941509,0,0.136363636,0.302053375,0.070962958,0.35534337,0.359478452,0.384615385,0.106991258,0,0.045191785
8,0.430290391,0,0.396240999,0,0.792095963,0.708792362,0.225900116,0,0.806825674,0.093941509,0,0.113636364,0.289000953,0.053717963,0.350255758,0.430974718,0.333333333,0.094357421,0,0.045191785
24,0.4205662,0,0.392573617,0,0.730332819,0.708792362,0.225900116,0,0.806863177,0.093941509,0,0.113636364,0.294085085,0.063786695,0.351121726,0.411039988,0.333333333,0.100081158,0,0.045191785
360,0.423394952,0,0.395374134,0,0.718277494,0.700271978,0.213124274,0,0.809981647,0.093941509,0,0.113636364,0.294829695,0.141853156,0.323940524,0.404501698,0.307692308,0.094357421,0,0.045191785
463,0.43019492,0,0.394421908,0,0.783175751,0.678306728,0.225900116,0,0.809751023,0.33052943,0,0.113636364,0.29143183,0.053717963,0.358857183,0.418623669,0.333333333,0.084395843,0,0.045191785
49,0.432040948,0,0.394206273,0,0.776316513,0.702515681,0.225900116,0,0.809456189,0.093941509,0,0.113636364,0.290876905,0.063586139,0.350453363,0.42393155,0.333333333,0.100081158,0,0.045191785
6,0.421228697,0,0.390268396,0,0.707700218,0.702515681,0.225900116,0,0.809505498,0.093941509,0,0.113636364,0.29658257,0.073991515,0.351948674,0.40178489,0.333333333,0.106991258,0,0.045191785
1727,0.427079882,0,0.393288765,0,0.753683912,0.702515681,0.225900116,0,0.809505498,0.093941509,0,0.113636364,0.292910818,0.063586139,0.351321601,0.41662663,0.333333333,0.106991258,0,0.045191785
117,0.401318071,0,0.383215747,0.05,0.71651204,0.702515681,0.225900116,0,0.809505498,0.093941509,0.015151515,0.113636364,0.29610609,0.059883678,0.428048362,0.404629002,0.333333333,0.115563767,0,0.045191785
35,0.411666113,0,0.387004164,0.05,0.782548135,0.702515681,0.225900116,0,0.809456189,0.093941509,0.015151515,0.113636364,0.290536534,0.049478302,0.425776147,0.425942874,0.333333333,0.106991258,0,0.045191785
1900,0.401318071,0,0.383215747,0.05,0.71651204,0.702515681,0.225900116,0,0.809505498,0.093941509,0.015151515,0.113636364,0.29610609,0.059883678,0.430186281,0.404629002,0.333333333,0.115563767,0,0.045191785
1880,0.388498664,0,0.429177199,0.05,0.815400439,0.702515681,0.162833914,0,0.809221383,0.093941509,0.015151515,0.113636364,0.144670635,0.049478302,0.43539667,0.218273157,0.358974359,0.070768066,0,0.028267871
373,0.399832258,0,0.385032987,0.05,0.708729665,0.692375719,0.213124274,0,0.813216735,0.093941509,0.015151515,0.113636364,0.296473359,0.137950139,0.400395841,0.398966647,0.307692308,0.106991258,0,0.045191785
434,0.40098563,0,0.400757109,0.05,0.786467699,0.739160874,0.225900116,0,0.801958709,0.093941509,0.015151515,0.113636364,0.289026491,0.058989002,0.380395676,0.438593698,0.307692308,0.106991258,0,0.045191785
153,0.411666113,0,0.3869638,0.05,0.782548135,0.698932595,0.225900116,0,0.809977067,0.363261588,0.015151515,0.113636364,0.290629655,0.049478302,0.427969073,0.424829601,0.333333333,0.095695891,0,0.045191785
163,0.402878911,0,0.403947079,0.05,0.671358654,0.69282439,0.225900116,0,0.812607283,0.093941509,0.015151515,0.125,0.299416162,0.059883678,0.425683999,0.387044147,0.358974359,0.115563767,0,0.045191785
3800,0.410783309,0,0.389177006,0.05,0.796668789,0.705209276,0.225900116,0,0.807346551,0.363200456,0.015151515,0.113636364,0.288842302,0.039300813,0.427558974,0.431337375,0.333333333,0.089515309,0,0.045191785
290,0.357423231,0,0.301600881,0,0.783973882,0.705041325,0.24738676,0,0.794539043,0.65162791,0.015151515,0.090909091,0.286943136,0.135982418,0.393258993,0.427187772,0.282051282,0,0.107142857,0.037696072
55,0.357423231,0,0.32949876,0,0.78504043,0.705889593,0.24738676,0,0.793293574,0.650871994,0.015151515,0.102272727,0.28642965,0.092157193,0.375609201,0.427795571,0.333333333,0,0.107142857,0.037696072
12,0.357423231,0,0.313387125,0,0.763989434,0.688698021,0.24738676,0,0.799303067,0.641096188,0.015151515,0.102272727,0.288876788,0.102374925,0.383495257,0.415659673,0.307692308,0,0.107142857,0.058861421
10,0.394259748,0,0.333217643,0,0.750053204,0.676971559,0.24738676,0,0.803238587,0.633812508,0.015151515,0.113636364,0.290451913,0.102374925,0.381413454,0.407518165,0.333333333,0,0.107142857,0.058861421
9,0.582105941,0,0.412614934,0,0.734972123,0.663896412,0.24738676,0,0.811792158,0.631429375,0.015151515,0.159090909,0.293859705,0.083491863,0.38055635,0.398588104,0.461538462,0,0.107142857,0.037696072
200,0.329542359,0,0.303124622,0,0.752617364,0.695350034,0.24738676,0.789483611,0.799838336,0.633568986,0.015151515,0.102272727,0.291424905,0.137633735,0.408231864,0.414056008,0.282051282,0.150404583,0.107142857,0.04541766
710,0.329542359,0,0.263886759,0,0.699212628,0.705041325,0.354587689,0,0.794889803,0.579922241,0.015151515,0.090909091,0.439096861,0.138583082,0.411990442,0.607960042,0.256410256,0,0.107142857,0.054619986
2,0.329542359,0,0.274854689,0,0.663257154,0.688698021,0.331939605,0,0.799653827,0.554387011,0.015151515,0.102272727,0.442977593,0.107388498,0.396544265,0.584826921,0.282051282,0,0.107142857,0.075785335
580,0.371353787,0,0.292993428,0,0.640219712,0.676971559,0.331939605,0,0.803589346,0.538183649,0.015151515,0.113636364,0.446008277,0.107388498,0.394404377,0.569249826,0.307692308,0,0.107142857,0.075785335
47,0.56907415,0,0.374093925,0,0.617771938,0.663896412,0.331939605,0,0.812142918,0.527073815,0.015151515,0.159090909,0.452473031,0.09087111,0.393714384,0.553074501,0.435897436,0,0.107142857,0.054619986
5.2,0.357423231,0,0.300456902,0,0.773189894,0.705041325,0.249477352,0,0.794539043,0.093941509,0.015151515,0.090909091,0.287609648,0.135982418,0.389117409,0.423707122,0.282051282,0,0.107142857,0.037696072
1800,0.357423231,0,0.341907049,0,0.809992592,0.696897949,0.162833914,0.778746272,0.798667713,0.093941509,0.015151515,0.102272727,0.142783875,0.135982418,0.399833296,0.216527715,0.307692308,0.073088944,0.107142857,0.028493747
6,0.357423231,0,0.328881757,0,0.774641585,0.705889593,0.249477352,0,0.793293574,0.093941509,0.015151515,0.102272727,0.286991142,0.092157193,0.368556075,0.42443923,0.333333333,0,0.107142857,0.037696072
3.1,0.357423231,0,0.312110621,0,0.746958733,0.688698021,0.249477352,0,0.799303067,0.040363319,0.015151515,0.102272727,0.289881634,0.102374925,0.377819458,0.410162828,0.307692308,0,0.107142857,0.058861421
480,0.395384506,0,0.331663959,0,0.729320691,0.676971559,0.249477352,0,0.803238587,0.040884741,0.015151515,0.113636364,0.291693083,0.102374925,0.375733817,0.40082652,0.333333333,0,0.107142857,0.058861421
10,0.585258532,0,0.411411489,0,0.711015317,0.663896412,0.249477352,0,0.811792158,0.093941509,0.015151515,0.159090909,0.295584454,0.083491863,0.374200155,0.390855783,0.461538462,0,0.107142857,0.037696072
31,0.329542359,0,0.295081639,0,0.718549147,0.705889593,0.263995354,0,0.793644333,0.093941509,0.015151515,0.102272727,0.43764364,0.099835931,0.383156741,0.611452573,0.307692308,0,0.107142857,0.054619986
3,0.568587714,0,0.374793646,0,0.654922879,0.663896412,0.263995354,0,0.812142918,0.093941509,0.015151515,0.159090909,0.451523132,0.091170601,0.390115885,0.557333052,0.435897436,0,0.107142857,0.054619986
120,0.580520775,0,0.46371334,0.05,0.748496069,0.633014666,0.162833914,0.822237608,0.831985458,0.093941509,0.015151515,0.170454545,0.148740341,0.064732717,0.466151202,0.19667904,0.461538462,0.200162316,0.107142857,0.028493747
85700,0.347196686,0,0.335096301,0,0.762375747,0.735427988,0.200929152,0,0.785391814,0.093941509,0.015151515,0.102272727,0.287733619,0.039910025,0.343635431,0.429657941,0.307692308,0.147203508,0.035714286,0.048688669
2320,0.446333,0,0.405268717,0.15,0.139131623,0,0.099767712,0.782865979,0,0.093941509,0.03030303,0.147727273,0,0.048425407,0.394195969,0,0.384615385,0.428312606,0.107142857,0.044564354
58,0.409840073,0,0.423753991,0,0.731354083,0.725885414,0.226945412,0,0.789333401,0.093941509,0,0.102272727,0.289402073,0.095454119,0.353799793,0.416680461,0.307692308,0,0,0.023415736
27,0.412524877,0,0.434916301,0,0.808312884,0.772461189,0.239721254,0,0.77827322,0.093941509,0,0.102272727,0.28222665,0.05514195,0.344528914,0.45599095,0.307692308,0,0,0.023415736
118,0.406280364,0,0.437436248,0,0.736018689,0.762530607,0.226945412,0,0.781835921,0.093941509,0,0.102272727,0.287860617,0.104964819,0.309133307,0.429571755,0.282051282,0,0,0.023415736
10.3,0.409530418,0,0.432581988,0,0.809292451,0.759268919,0.253542393,0,0.780727659,0.093941509,0,0.102272727,0.282624471,0.051239259,0.402274929,0.452208249,0.307692308,0,0,0.023415736
35,0.401315873,0,0.435058966,0,0.736998257,0.749338338,0.240766551,0,0.784290359,0.093941509,0,0.102272727,0.288258437,0.101062127,0.366891756,0.425789054,0.282051282,0,0,0.023415736
10,0.414761247,0,0.415047658,0,0.778611636,0.672428168,0.239721254,0,0.807170115,0.093941509,0,0.102272727,0.28883804,0.066897822,0.392180312,0.41532407,0.333333333,0,0,0.023415736
36,0.409840073,0,0.41793679,0,0.714142839,0.654368475,0.226945412,0,0.812020514,0.093941509,0,0.102272727,0.294472006,0.116720691,0.35677899,0.388904874,0.307692308,0,0,0.023415736
174,0.414761247,0,0.413549877,0,0.788674892,0.679789568,0.225900116,0.789600184,0.80815156,0.093941509,0,0.113636364,0.28939351,0.046483226,0.393750206,0.420859299,0.358974359,0.094357421,0,0.031137324
40,0.414761247,0,0.432976284,0,0.779726534,0.67271771,0.225900116,0,0.806226984,0.093941509,0,0.113636364,0.288339512,0.063130994,0.387306195,0.415773877,0.384615385,0,0,0.023415736
40,0.409840073,0,0.435962289,0,0.714421564,0.655526644,0.213124274,0,0.809789684,0.093941509,0,0.113636364,0.293973479,0.112953863,0.35189526,0.389354681,0.358974359,0,0,0.023415736
92,0.412498311,0,0.424182572,0,0.80266871,0.749008265,0.225900116,0,0.783316263,0.093941509,0,0.102272727,0.283370285,0.047021406,0.328723626,0.446882357,0.333333333,0,0,0.023415736
143,0.40960725,0,0.426949489,0,0.730374516,0.739077684,0.213124274,0,0.786878963,0.093941509,0,0.102272727,0.289004252,0.096844274,0.293315078,0.420463162,0.307692308,0,0,0.023415736
107,0.412498311,0,0.414524959,0,0.752585726,0.67451359,0.213124274,0,0.806414968,0.093941509,0,0.102272727,0.290545708,0.066042805,0.353745586,0.407571868,0.333333333,0,0,0.023415736
356,0.40960725,0,0.417432452,0,0.716150347,0.627332466,0.200348432,0,0.822327576,0.093941509,0,0.102272727,0.296179675,0.115865674,0.318336811,0.381152672,0.307692308,0,0,0.023415736
92,0.405143074,0,0.438887046,0,0.807333316,0.785653458,0.225900116,0,0.775818782,0.093941509,0,0.102272727,0.281828829,0.053983721,0.281014264,0.459773651,0.307692308,0,0,0.023415736
519,0.40085281,0,0.441449961,0,0.735039122,0.775722877,0.213124274,0,0.779381482,0.093941509,0,0.102272727,0.287462796,0.10380659,0.24560628,0.433354456,0.282051282,0,0,0.023415736
22,0.410487325,0,0.416577355,0,0.813682363,0.719601629,0.225900116,0,0.789153117,0.751374285,0,0.102272727,0.283971476,0.045631251,0.386003575,0.441300428,0.333333333,0,0,0.023415736
21,0.414910843,0,0.429732961,0,0.818346969,0.756246822,0.225900116,0,0.781655636,0.756241466,0,0.102272727,0.28243002,0.05514195,0.325588982,0.454191722,0.307692308,0,0,0.023415736
40,0.391991138,0,0.418874553,0,0.741388169,0.709671047,0.213124274,0,0.792715817,0.692921192,0,0.102272727,0.289605442,0.090664979,0.357877316,0.414881233,0.307692308,0,0,0.023415736
125,0.394660374,0,0.431826158,0,0.746052775,0.74631624,0.213124274,0,0.785218336,0.697847205,0,0.102272727,0.288063986,0.100175679,0.29746329,0.427772527,0.282051282,0,0,0.023415736
30,0.410487325,0,0.415886669,0,0.765873351,0.6975285,0.225900116,0,0.796155312,0.125505008,0,0.102272727,0.288039941,0.066897822,0.389881724,0.419011377,0.333333333,0,0,0.023415736
43,0.391991138,0,0.418459935,0,0.693579157,0.687597918,0.213124274,0,0.799718012,0.12266653,0,0.102272727,0.293673908,0.10908237,0.359234727,0.392592182,0.307692308,0,0,0.023415736
105,0.454149389,0,0.38391655,0,0.782325845,0.705124516,0.225900116,0,0.794940646,0.093941509,0.015151515,0.113636364,0.287334187,0.04906448,0.375465637,0.426681698,0.358974359,0,0,0.043317857
210,0.460292482,0,0.397012934,0,0.786990451,0.741769709,0.225900116,0,0.787443165,0.093941509,0.015151515,0.113636364,0.285792731,0.05857518,0.314936822,0.439572992,0.333333333,0,0,0.043317857
131,0.441853579,0,0.379777647,0,0.708507376,0.694984554,0.213124274,0,0.798701191,0.093941509,0.015151515,0.113636364,0.293271012,0.129241106,0.356028547,0.399705472,0.333333333,0,0,0.043317857
109,0.441853579,0,0.385345652,0,0.710031651,0.695193934,0.213124274,0,0.798503346,0.093941509,0.015151515,0.113636364,0.292968153,0.093638242,0.349187776,0.400262503,0.333333333,0,0,0.043317857
299,0.446380878,0,0.398238034,0,0.714696257,0.731839127,0.213124274,0,0.791005865,0.093941509,0.015151515,0.113636364,0.291426697,0.103148942,0.288659523,0.413153797,0.307692308,0,0,0.043317857
312,0.446380878,0,0.407521385,0,0.822266534,0.746615354,0.225900116,0,0.786318445,0.093941509,0.015151515,0.113636364,0.284251275,0.070725998,0.269449229,0.452464286,0.307692308,0,0,0.043317857
231,0.460292482,0,0.393692315,0.05,0.784910682,0.741082046,0.225900116,0,0.787116959,0.093941509,0.015151515,0.113636364,0.285635072,0.060751277,0.319502814,0.438688066,0.333333333,0,0,0.037696072
254,0.460292482,0,0.46961382,0.05,0.761873241,0.729355584,0.225900116,0,0.79052634,0.093941509,0,0.125,0.287488512,0.060751277,0.328723596,0.427609042,0.384615385,0,0,0.023415736
235,0.460292482,0,0.465126733,0,0.748274751,0.72280469,0.225900116,0,0.791904824,0.093941509,0,0.125,0.288257574,0.064401721,0.327199781,0.421184604,0.384615385,0,0,0.023415736
247,0.460292482,0,0.434986808,0,0.77547173,0.735906478,0.235423926,0,0.789147855,0.093941509,0,0.125,0.286719451,0.05857518,0.329852872,0.43403348,0.384615385,0,0,0.023415736
343,0.490750401,0,0.460412952,0,0.757833689,0.726215187,0.225900116,0,0.793244043,0.093941509,0,0.136363636,0.288870604,0.05857518,0.319636787,0.425329504,0.41025641,0,0,0.023415736
26,0.460808704,0,0.39409185,0,0.787970019,0.728577439,0.239721254,0,0.789897603,0.093941509,0.015151515,0.113636364,0.286190551,0.057185025,0.37600955,0.435790291,0.333333333,0,0,0.043317857
186,0.454701411,0,0.408700054,0,0.792634625,0.765222632,0.239721254,0,0.782400123,0.093941509,0.015151515,0.113636364,0.284649095,0.066695724,0.331405804,0.448681585,0.307692308,0,0,0.043317857
45,0.450113118,0,0.406597186,0,0.793614192,0.752030363,0.253542393,0,0.784854561,0.093941509,0.015151515,0.113636364,0.285046916,0.062793032,0.389752898,0.444898885,0.307692308,0,0,0.043317857
548,0.449105202,0,0.412439354,0,0.791655057,0.778414902,0.225900116,0,0.779945685,0.093941509,0.015151515,0.113636364,0.284251275,0.065537495,0.267290731,0.452464286,0.307692308,0,0,0.043317857
84,0.449465014,0,0.385090965,0,0.775427411,0.706499842,0.239721254,0,0.79414771,0.093941509,0.015151515,0.113636364,0.287958562,0.04906448,0.385509873,0.42488247,0.358974359,0,0,0.043317857
96,0.457010082,0,0.398031123,0,0.780092017,0.743145035,0.239721254,0,0.78665023,0.093941509,0.015151515,0.113636364,0.286417105,0.05857518,0.324921441,0.437773764,0.333333333,0,0,0.043317857
116,0.446430281,0,0.393870019,0,0.706273548,0.733005073,0.226945412,0,0.790410776,0.093941509,0.015151515,0.113636364,0.292353931,0.147047017,0.30256816,0.410797537,0.307692308,0,0,0.043317857
877,0.491772622,0,0.372618886,0,0.744815935,0.738299389,0.239721254,0,0.789399806,0.093941509,0.03030303,0.125,0.290806356,0.079476917,0.314496458,0.42488247,0.333333333,0,0,0.063219977
406,0.446430281,0,0.416989782,0,0.709539852,0.733453744,0.239721254,0,0.789752015,0.093941509,0.015151515,0.125,0.291345511,0.102554751,0.331869762,0.411991176,0.358974359,0,0,0.043317857
98,0.440612463,0,0.386968916,0,0.703133217,0.69656926,0.226945412,0,0.79771041,0.093941509,0.015151515,0.113636364,0.293592528,0.099223992,0.35544969,0.398463274,0.333333333,0,0,0.043317857
55,0.446430281,0,0.399705072,0,0.707797823,0.733214453,0.226945412,0,0.79021293,0.093941509,0.015151515,0.113636364,0.292051072,0.108734692,0.294861823,0.411354569,0.307692308,0,0,0.043317857
73,0.457010082,0,0.435256837,0,0.764413758,0.738299389,0.235423926,0,0.788059065,0.540210129,0,0.125,0.28751553,0.05857518,0.331229146,0.431207882,0.384615385,0,0,0.023415736
180,0.484963777,0,0.460334084,0,0.741376317,0.730156013,0.225900116,0,0.791483316,0.093941509,0,0.136363636,0.290006547,0.05857518,0.320369248,0.421242131,0.41025641,0,0,0.023415736
73,0.457010082,0,0.394693953,0.05,0.7766428,0.742636242,0.24738676,0,0.786371985,0.586145306,0.015151515,0.113636364,0.286248844,0.060751277,0.329489746,0.436502408,0.333333333,0,0,0.037696072
527,0.457010082,0,0.469227966,0.05,0.745286282,0.732944951,0.225900116,0,0.789189655,0.093941509,0,0.125,0.288445693,0.060751277,0.328715528,0.423370644,0.384615385,0,0,0.023415736
113,0.457010082,0,0.464610852,0,0.726158807,0.727590513,0.225900116,0,0.790320245,0.093941509,0,0.125,0.289375856,0.064401721,0.326451301,0.415533406,0.384615385,0,0,0.023415736
211,0.402579678,0,0.411808135,0,0.798004104,0.712363072,0.225900116,0,0.790813743,0.093941509,0,0.102272727,0.284911741,0.037510706,0.389315707,0.433991063,0.358974359,0,0,0.023415736
1452,0.391341016,0,0.40634185,0,0.736976967,0.668816873,0.225900116,0,0.809026248,0.093941509,0,0.102272727,0.293004978,0.047579438,0.38997867,0.400763988,0.358974359,0,0,0.023415736
22,0.394843064,0,0.408182492,0,0.736976967,0.712363072,0.225900116,0,0.790863052,0.093941509,0,0.102272727,0.289745892,0.047579438,0.389985933,0.414293887,0.358974359,0,0,0.023415736
230,0.399218523,0,0.409955161,0,0.782960661,0.684444172,0.225900116,0,0.802901577,0.093941509,0,0.102272727,0.28816463,0.037510706,0.389307726,0.420461164,0.358974359,0,0,0.023415736
